,rooms,facilities,rating_n_reviews,specialties_1,specialties_2,price_per_night,house_rules,amenities,region,partner
0,8 guests · 3 bedrooms · 8 beds · 0 baths,Kitchen,5.0 (6),Entire home**__**Enhanced Clean**__**Self check-in**__**Luise is a Superhost**__**House rules,,€23 €21/ night,"󰀥Check-in:  2:00 PM - 9:00 PM**__**󰀥Checkout: 9:00 AM**__**󰄄Self check-in with lockbox**__**󱤈No smoking**__**󱤂No parties or events**__**󱤅Pets are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠁Carbon monoxide alarm**__**󱠁Smoke alarm**__**󰐂Security Deposit - if you damage the home, you may be charged up to €100","{""amenity_Bathroom"": [""Hair dryer""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Dryer"", ""Hangers"", ""Washer""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""High chair""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Kitchen""], ""amenity_Location features"": [""Lake access"", ""Ski-in/Ski-out"", ""Waterfront"", ""Private entrance""], ""amenity_Outdoor"": [""Patio or balcony""], ""amenity_Parking and facilities"": [""Pool"", ""Free parking on premises"", ""Gym"", ""Free street parking""], ""amenity_Services"": [""Long term stays allowed"", ""Lockbox""], ""amenity_Not included"": [""Unavailable: Shampoo"", ""Unavailable: Air conditioning""]}",Uberlandia,Premium
1,8 guests · 4 bedrooms · 8 beds · 1.5 baths,Kitchen,4.96 (48),Entire home**__**Enhanced Clean**__**Self check-in**__**Cancellation policy**__**House rules,,€140/ night,󰀥Checkout: 9:00 AM**__**󰄄Self check-in with lockbox**__**󱤈No smoking**__**󱤂No parties or events**__**󱤅Pets are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠁Smoke alarm,"{""amenity_Bathroom"": [""Hot water"", ""Hair dryer""], ""amenity_Bedroom and laundry"": [""Bed linens"", ""Iron"", ""Washer"", ""Essentials"", ""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""Crib"", ""High chair"", ""Children\u2019s books and toys"", ""Pack \u2019n Play/travel crib""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Smoke alarm"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Kitchen"", ""Dishwasher"", ""Stove"", ""Coffee maker"", ""Oven""], ""amenity_Location features"": [""Private entrance""], ""amenity_Outdoor"": [""Patio or balcony"", ""Garden or backyard"", ""BBQ grill""], ""amenity_Parking and facilities"": [""Free street parking"", ""Free parking on premises""], ""amenity_Services"": [""Luggage dropoff allowed"", ""Lockbox""], ""amenity_Not included"": [""Unavailable: Carbon monoxide alarm"", ""Unavailable: Shampoo"", ""Unavailable: Air conditioning""]}",Uberlandia,Premium
2,5 guests · 2 bedrooms · 5 beds · 2 baths,Kitchen,5.0 (6),,Entire home**__**Enhanced Clean**__**Great location**__**Cancellation policy**__**House rules,€121/ night,󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 11:00 AM**__**󱤄Not suitable for infants (under 2 years)**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠃No carbon monoxide alarm**__**󱠁Smoke alarm,"{""amenity_Bathroom"": [""Hot water""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Smoke alarm""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Hair dryer"", ""Unavailable: Shampoo"", ""Unavailable: Washer"", ""Unavailable: Air conditioning"", ""Unavailable: Carbon monoxide alarm""]}",Uberlandia,Premium
3,6 guests · 3 bedrooms · 4 beds · 1 bath,Kitchen,4.83 (116),Entire home**__**Enhanced Clean**__**Timea is a Superhost**__**Free cancellation until 1:00 PM on Mar 15**__**House rules,,€205 €141/ night,󰀥Check-in:  After 1:00 PM**__**󰀥Checkout: 12:00 PM**__**󱤂No parties or events**__**󱤅Pets are allowed**__**󱤇Smoking is allowed**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠁Smoke alarm,{},Uberlandia,Premium
4,6 guests · 3 bedrooms · 3 beds · 1.5 baths,Hosted by a business · Kitchen,empty,Entire home**__**Enhanced Clean**__**Wifi**__**Cancellation policy**__**House rules,,€139/ night,󰀥Check-in:  4:00 PM - 6:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bedroom and laundry"": [""Dryer"", ""Washer""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""High chair"", ""Crib""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Coffee maker"", ""Kitchen"", ""Oven"", ""Dishwasher""], ""amenity_Outdoor"": [""Patio or balcony""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Smoke alarm"", ""Unavailable: Essentials"", ""Unavailable: Private entrance"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Hair dryer"", ""Unavailable: Shampoo"", ""Unavailable: Air conditioning""]}",Uberlandia,Premium
5,8 guests · 3 bedrooms · 8 beds · 3 baths,Kitchen,empty,,Entire home**__**Enhanced Clean**__**Cancellation policy**__**House rules,€160/ night,"󰀥Check-in:  4:00 PM - 8:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more**__**󰐂Security Deposit - if you damage the home, you may be charged up to €350","{""amenity_Bathroom"": [""Hot water""], ""amenity_Bedroom and laundry"": [""Hangers"", ""Bed linens""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""High chair"", ""Pack \u2019n Play/travel crib""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Coffee maker"", ""Dishwasher"", ""Oven"", ""Refrigerator"", ""Kitchen"", ""Microwave"", ""Stove"", ""Dishes and silverware"", ""Cooking basics""], ""amenity_Location features"": [""Private entrance""], ""amenity_Outdoor"": [""Patio or balcony""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Not included"": [""Unavailable: Air conditioning"", ""Unavailable: Washer"", ""Unavailable: Essentials"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Hair dryer"", ""Unavailable: Shampoo"", ""Unavailable: Smoke alarm""]}",Uberlandia,Premium
6,4 guests · 3 bedrooms · 3 beds · 2 baths,Hosted by a business · Kitchen,empty,Entire home**__**Enhanced Clean**__**Cancellation policy**__**House rules,,€70/ night,󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤅Pets are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bathroom"": [""Bathtub""], ""amenity_Bedroom and laundry"": [""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Refrigerator"", ""Coffee maker"", ""Microwave"", ""Kitchen""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free street parking""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Carbon monoxide alarm"", ""Unavailable: Shampoo"", ""Unavailable: Wifi"", ""Unavailable: Essentials"", ""Unavailable: Air conditioning"", ""Unavailable: Hair dryer"", ""Unavailable: Smoke alarm"", ""Unavailable: Washer""]}",Uberlandia,Premium
7,6 guests · 2 bedrooms · 4 beds · 1.5 baths,Kitchen,4.86 (14),,Entire home**__**Enhanced Clean**__**Anna is a Superhost**__**Cancellation policy**__**House rules,€62/ night,󰀥Check-in:  4:00 PM - 9:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤄Not suitable for infants (under 2 years)**__**󱤈No smoking**__**󱤂No parties or events**__**󱤅Pets are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠁Smoke alarm,"{""amenity_Bathroom"": [""Hot water""], ""amenity_Bedroom and laundry"": [""Hangers"", ""Essentials"", ""Bed linens"", ""Extra pillows and blankets""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Fire extinguisher"", ""Smoke alarm""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Coffee maker"", ""Oven"", ""Refrigerator"", ""Kitchen"", ""Microwave"", ""Stove"", ""Dishes and silverware"", ""Cooking basics""], ""amenity_Location features"": [""Private entrance""], ""amenity_Outdoor"": [""Garden or backyard"", ""Patio or balcony""], ""amenity_Services"": [""Luggage dropoff allowed"", ""Long term stays allowed"", ""Host greets you"", ""Cleaning before checkout""], ""amenity_Not included"": [""Unavailable: Air conditioning"", ""Unavailable: Washer"", ""Unavailable: TV"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Hair dryer"", ""Unavailable: Shampoo""]}",Uberlandia,Premium
8,4 guests · 2 bedrooms · 4 beds · 1 bath,Kitchen,4.91 (55),,Entire home**__**Enhanced Clean**__**Michaela is a Superhost**__**Free cancellation until 4:00 PM on Mar 11**__**House rules,€94/ night,"󰀥Check-in:  4:00 PM - 9:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more**__**󰐂Security Deposit - if you damage the home, you may be charged up to €100","{""amenity_Bathroom"": [""Hot water"", ""Hair dryer""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""Pack \u2019n Play/travel crib"", ""High chair""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Refrigerator"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Kitchen"", ""Coffee maker""], ""amenity_Outdoor"": [""Patio or balcony""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Services"": [""Host greets you"", ""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Air conditioning"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Private entrance"", ""Unavailable: Shampoo"", ""Unavailable: Smoke alarm"", ""Unavailable: Washer""]}",Uberlandia,Premium
9,8 guests · 3 bedrooms · 0 beds · 2.5 baths,Kitchen,4.93 (15),,Entire home**__**Enhanced Clean**__**Wifi**__**Free cancellation until 3:00 PM on Mar 15**__**House rules,€117/ night,󰀥Check-in:  Flexible**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠁Smoke alarm,"{""amenity_Bathroom"": [""Hot water"", ""Bathtub""], ""amenity_Bedroom and laundry"": [""Washer"", ""Essentials"", ""Hangers"", ""Dryer""], ""amenity_Entertainment"": [""Cable TV"", ""TV""], ""amenity_Family"": [""High chair"", ""Baby bath"", ""Crib"", ""Children\u2019s books and toys"", ""Pack \u2019n Play/travel crib""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Fire extinguisher"", ""Smoke alarm""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Oven"", ""Coffee maker"", ""Baking sheet"", ""Dishwasher"", ""Stove"", ""Dishes and silverware"", ""Cooking basics"", ""Refrigerator"", ""Kitchen""], ""amenity_Location features"": [""Private entrance"", ""Ski-in/Ski-out""], ""amenity_Outdoor"": [""Patio or balcony"", ""BBQ grill"", ""Garden or backyard""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Services"": [""Long term stays allowed"", ""Luggage dropoff allowed"", ""Host greets you""], ""amenity_Not included"": [""Unavailable: Hair dryer"", ""Unavailable: Shampoo"", ""Unavailable: Air conditioning"", ""Unavailable: Carbon monoxide alarm""]}",Uberlandia,Premium
10,7 guests · 4 bedrooms · 4 beds · 2 baths,Hosted by a business · Kitchen,4.70 (29),,Entire home**__**Enhanced Clean**__**Great check-in experience**__**Cancellation policy**__**House rules,€140/ night,󰀥Check-in:  3:00 PM - 10:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bathroom"": [""Hair dryer"", ""Hot water""], ""amenity_Bedroom and laundry"": [""Hangers"", ""Bed linens"", ""Washer"", ""Essentials""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""Pack \u2019n Play/travel crib""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Refrigerator"", ""Coffee maker"", ""Oven"", ""Stove"", ""Kitchen"", ""Dishes and silverware"", ""Dishwasher"", ""Cooking basics""], ""amenity_Location features"": [""Private entrance""], ""amenity_Outdoor"": [""Patio or balcony""], ""amenity_Parking and facilities"": [""Free street parking"", ""Free parking on premises""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Air conditioning"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Shampoo"", ""Unavailable: Smoke alarm""]}",Uberlandia,Premium
11,10 guests · 4 bedrooms · 0 beds · 2.5 baths,Kitchen,4.63 (9),,Entire home**__**Enhanced Clean**__**Experienced host**__**Cancellation policy**__**House rules,€146/ night,󰀥Check-in:  12:00 PM - 10:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤂No parties or events**__**󱤅Pets are allowed**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠁Smoke alarm,"{""amenity_Bathroom"": [""Hot water"", ""Bathtub""], ""amenity_Bedroom and laundry"": [""Hangers"", ""Bed linens"", ""Essentials""], ""amenity_Entertainment"": [""TV"", ""Cable TV""], ""amenity_Family"": [""Pack \u2019n Play/travel crib"", ""High chair""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Fire extinguisher"", ""Smoke alarm""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Stove"", ""Dishes and silverware"", ""Refrigerator"", ""Coffee maker"", ""Kitchen"", ""Cooking basics"", ""Baking sheet"", ""Dishwasher"", ""Microwave"", ""Oven""], ""amenity_Location features"": [""Private entrance""], ""amenity_Outdoor"": [""Patio or balcony"", ""Garden or backyard"", ""BBQ grill""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Services"": [""Luggage dropoff allowed""], ""amenity_Not included"": [""Unavailable: Washer"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Shampoo"", ""Unavailable: Hair dryer"", ""Unavailable: Air conditioning""]}",Uberlandia,Premium
12,6 guests · 3 bedrooms · 3 beds · 2 baths,Kitchen,4.67 (3),,Entire home**__**Enhanced Clean**__**Claudia is a Superhost**__**Free cancellation until 3:00 PM on Mar 15**__**House rules,€160/ night,"󱤈No smoking**__**󱤂No parties or events**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠃No carbon monoxide alarm**__**󱠃No smoke alarm**__**󱠃Nearby lake, river, other body of water","{""amenity_Bathroom"": [""Hot water"", ""Hair dryer""], ""amenity_Bedroom and laundry"": [""Iron"", ""Hangers"", ""Essentials""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen""], ""amenity_Location features"": [""Private entrance""], ""amenity_Outdoor"": [""Patio or balcony""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Not included"": [""Unavailable: Carbon monoxide alarm"", ""Unavailable: Air conditioning"", ""Unavailable: Shampoo"", ""Unavailable: Smoke alarm"", ""Unavailable: Washer""]}",Uberlandia,Premium
13,6 guests · 2 bedrooms · 3 beds · 1 bath,Kitchen,empty,,Entire home**__**Enhanced Clean**__**Experienced host**__**Cancellation policy**__**House rules,€193/ night,"󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 12:00 PM**__**󱤈No smoking**__**󱤆No pets**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more**__**󰐂Security Deposit - if you damage the home, you may be charged up to €100","{""amenity_Bedroom and laundry"": [""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Coffee maker""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free street parking""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Essentials"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Hair dryer"", ""Unavailable: Smoke alarm"", ""Unavailable: Air conditioning"", ""Unavailable: Washer"", ""Unavailable: Shampoo""]}",Uberlandia,Premium
14,4 guests · 3 bedrooms · 3 beds · 1 bath,Kitchen,empty,Entire home**__**Enhanced Clean**__**Cancellation policy**__**House rules,,€80/ night,󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤅Pets are allowed**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bedroom and laundry"": [""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Microwave"", ""Refrigerator"", ""Oven"", ""Coffee maker"", ""Dishwasher""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free street parking""], ""amenity_Not included"": [""Unavailable: Washer"", ""Unavailable: Essentials"", ""Unavailable: Smoke alarm"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Shampoo"", ""Unavailable: Air conditioning"", ""Unavailable: Hair dryer""]}",Uberlandia,Premium
15,4 guests · 1 bedroom · 5 beds · 1 bath,Kitchen,5.0 (6),Entire home**__**Enhanced Clean**__**Pool**__**Free cancellation until 3:00 PM on Mar 11**__**House rules,,€196/ night,󰀥Check-in:  Flexible**__**󱤄Not suitable for children and infants**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bathroom"": [""Bathtub""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""Crib""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Microwave"", ""Oven"", ""Refrigerator"", ""Cooking basics"", ""Dishes and silverware"", ""Stove"", ""Coffee maker"", ""Dishwasher"", ""Kitchen""], ""amenity_Outdoor"": [""Patio or balcony""], ""amenity_Parking and facilities"": [""Pool"", ""Free parking on premises""], ""amenity_Not included"": [""Unavailable: Washer"", ""Unavailable: Essentials"", ""Unavailable: Private entrance"", ""Unavailable: Heating"", ""Unavailable: Shampoo"", ""Unavailable: Smoke alarm"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Hair dryer"", ""Unavailable: Air conditioning""]}",Uberlandia,Premium
16,8 guests · 4 bedrooms · 8 beds · 2 baths,Kitchen,4.92 (13),,Entire home**__**Enhanced Clean**__**Pets allowed**__**Free cancellation until 12:00 PM on Mar 15**__**House rules,€140/ night,󰀥Check-in:  12:00 PM - 10:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤂No parties or events**__**󱤅Pets are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bedroom and laundry"": [""Dryer"", ""Washer"", ""Essentials"", ""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Kitchen""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Shampoo"", ""Unavailable: Hair dryer"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Private entrance"", ""Unavailable: Smoke alarm"", ""Unavailable: Air conditioning""]}",Uberlandia,Premium
17,7 guests · 3 bedrooms · 5 beds · 2 baths,Kitchen,empty,Entire home**__**Enhanced Clean**__**Cancellation policy**__**House rules,,€126/ night,󰀥Check-in:  After 3:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤅Pets are allowed**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bathroom"": [""Bathtub""], ""amenity_Bedroom and laundry"": [""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Coffee maker"", ""Oven"", ""Refrigerator""], ""amenity_Location features"": [""Private entrance""], ""amenity_Not included"": [""Unavailable: Smoke alarm"", ""Unavailable: Washer"", ""Unavailable: Hair dryer"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Air conditioning"", ""Unavailable: Shampoo"", ""Unavailable: Essentials""]}",Uberlandia,Premium
