,rooms,facilities,rating_n_reviews,specialties_1,specialties_2,price_per_night,house_rules,amenities,region,partner
18,4 guests · 2 bedrooms · 3 beds · 1 bath,Kitchen,4.90 (43),,Entire home**__**Enhanced Clean**__**Kathrin is a Superhost**__**Free cancellation until 3:00 PM on Mar 11**__**House rules,€130/ night,"󰀥Check-in:  After 3:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠁Carbon monoxide detector not required Learn more**__**󱠁Smoke alarm**__**󰐂Security Deposit - if you damage the home, you may be charged up to €150","{""amenity_Bathroom"": [""Hot water"", ""Hair dryer"", ""Fl\u00fcssigseife body soap""], ""amenity_Bedroom and laundry"": [""Bed linens"", ""Essentials"", ""Extra pillows and blankets"", ""Clothing storage: wardrobe"", ""Paid washer"", ""Hangers"", ""Room-darkening shades"", ""Iron""], ""amenity_Entertainment"": [""HDTV""], ""amenity_Family"": [""Pack \u2019n Play/travel crib"", ""Board games"", ""Children\u2019s books and toys""], ""amenity_Heating and cooling"": [""Central heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Fire extinguisher"", ""Smoke alarm""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Oven"", ""Toaster"", ""mit Gefrierfach refrigerator"", ""Dishwasher"", ""Stove"", ""Microwave"", ""Hot water kettle"", ""Dining table"", ""Dishes and silverware"", ""Kitchen"", ""Baking sheet"", ""Nespresso machine"", ""Wine glasses"", ""Cooking basics"", ""Coffee maker""], ""amenity_Location features"": [""Private entrance""], ""amenity_Outdoor"": [""Outdoor dining area"", ""Patio or balcony""], ""amenity_Parking and facilities"": [""Single level home"", ""Free street parking"", ""Free parking on premises""], ""amenity_Services"": [""Host greets you""], ""amenity_Not included"": [""Unavailable: Air conditioning"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Shampoo""]}",Uberlandia,Premium
19,4 guests · 1 bedroom · 2 beds · 1 bath,Kitchen,5.0 (26),Entire home**__**Enhanced Clean**__**Sarah is a Superhost**__**Free cancellation until 3:00 PM on Mar 11**__**House rules,,€70/ night,󰀥Check-in:  3:00 PM - 10:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bathroom"": [""Hot water""], ""amenity_Bedroom and laundry"": [""Hangers"", ""Washer"", ""Essentials""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating"", ""Indoor fireplace""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Coffee maker"", ""Dishwasher"", ""Oven"", ""Refrigerator"", ""Kitchen"", ""Stove"", ""Dishes and silverware"", ""Cooking basics""], ""amenity_Outdoor"": [""Garden or backyard"", ""Patio or balcony""], ""amenity_Parking and facilities"": [""Single level home"", ""Free parking on premises""], ""amenity_Services"": [""Luggage dropoff allowed""], ""amenity_Not included"": [""Unavailable: Air conditioning"", ""Unavailable: Private entrance"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Hair dryer"", ""Unavailable: Shampoo"", ""Unavailable: Smoke alarm""]}",Uberlandia,Premium
20,8 guests · 4 bedrooms · 6 beds · 4 baths,Hosted by a business · Kitchen,empty,,Entire home**__**Enhanced Clean**__**Cancellation policy**__**House rules,€124/ night,󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤅Pets are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bedroom and laundry"": [""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Oven"", ""Kitchen"", ""Refrigerator"", ""Coffee maker"", ""Microwave""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free street parking""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Hair dryer"", ""Unavailable: Shampoo"", ""Unavailable: Smoke alarm"", ""Unavailable: Essentials"", ""Unavailable: Washer"", ""Unavailable: Wifi"", ""Unavailable: Air conditioning"", ""Unavailable: Carbon monoxide alarm""]}",Uberlandia,Premium
21,6 guests · 2 bedrooms · 4 beds · 1.5 baths,Kitchen,empty,Entire home**__**Enhanced Clean**__**Self check-in**__**Free cancellation until 3:00 PM on Mar 11**__**House rules,,€193/ night,󰀥Check-in:  3:00 PM - 6:00 PM**__**󰀥Checkout: 9:00 AM**__**󰄄Self check-in with lockbox**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠃No carbon monoxide alarm**__**󱠃No smoke alarm**__**󱠃Security camera/recording device Learn more,"{""amenity_Bathroom"": [""Hair dryer""], ""amenity_Bedroom and laundry"": [""Hangers"", ""Essentials""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Security cameras on property"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Dedicated workspace"", ""Wifi""], ""amenity_Kitchen and dining"": [""Dishes and silverware"", ""Coffee maker"", ""Kitchen""], ""amenity_Parking and facilities"": [""Free street parking"", ""Free parking on premises""], ""amenity_Services"": [""Lockbox""], ""amenity_Not included"": [""Unavailable: Carbon monoxide alarm"", ""Unavailable: Private entrance"", ""Unavailable: Shampoo"", ""Unavailable: Air conditioning"", ""Unavailable: Smoke alarm"", ""Unavailable: Washer""]}",Uberlandia,Premium
22,6 guests · 2 bedrooms · 5 beds · 2 baths,Hosted by a business · Kitchen,4.67 (3 reviews),Entire home**__**Enhanced Clean**__**Great location**__**Cancellation policy**__**House rules,,€191/ night,󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,{},Uberlandia,Premium
23,4 guests · 1 bedroom · 2 beds · 1 bath,Kitchen,empty,Entire home**__**Enhanced Clean**__**Pets allowed**__**Free cancellation until 8:00 AM on Mar 15**__**House rules,,€210/ night,"󰀥Check-in:  8:00 AM - 11:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤂No parties or events**__**󱤅Pets are allowed**__**󱤇Smoking is allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠃Nearby lake, river, other body of water**__**󱠁Smoke alarm","{""amenity_Bathroom"": [""Hot water"", ""Hair dryer""], ""amenity_Bedroom and laundry"": [""Hangers"", ""Washer"", ""Essentials"", ""Dryer""], ""amenity_Entertainment"": [""TV""], ""amenity_Family"": [""Crib"", ""High chair"", ""Children\u2019s books and toys""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Smoke alarm"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Services"": [""Long term stays allowed"", ""Luggage dropoff allowed""], ""amenity_Not included"": [""Unavailable: Carbon monoxide alarm"", ""Unavailable: Air conditioning"", ""Unavailable: Shampoo""]}",Uberlandia,Premium
24,4 guests · 2 bedrooms · 4 beds · 1 bath,Kitchen,4.91 (55 reviews),Entire home**__**Enhanced Clean**__**Michaela is a Superhost**__**Free cancellation until 4:00 PM on Mar 11**__**House rules,,€94/ night,"󰀥Check-in:  4:00 PM - 9:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more**__**󰐂Security Deposit - if you damage the home, you may be charged up to €100",{},Uberlandia,Premium
25,6 guests · 3 bedrooms · 3 beds · 1 bath,Kitchen,empty,,Entire home**__**Enhanced Clean**__**Experienced host**__**Cancellation policy**__**House rules,€117/ night,󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bedroom and laundry"": [""Hangers"", ""Essentials""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Coffee maker"", ""Microwave""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free street parking""], ""amenity_Not included"": [""Unavailable: Carbon monoxide alarm"", ""Unavailable: Air conditioning"", ""Unavailable: Washer"", ""Unavailable: Hair dryer"", ""Unavailable: Smoke alarm"", ""Unavailable: Shampoo""]}",Uberlandia,Premium
26,6 guests · 2 bedrooms · 4 beds · 1 bath,Kitchen,empty,Entire home**__**Enhanced Clean**__**Free cancellation until 1:00 PM on Mar 11**__**House rules,,€196/ night,󰀥Check-in:  1:00 PM - 6:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠁Smoke alarm,"{""amenity_Bathroom"": [""Hot water"", ""Shampoo"", ""Body soap"", ""Hair dryer""], ""amenity_Bedroom and laundry"": [""Bed linens"", ""Essentials"", ""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Smoke alarm"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Dishes and silverware"", ""Refrigerator"", ""Cooking basics"", ""Dishwasher"", ""Kitchen"", ""Stove"", ""Nespresso machine"", ""Microwave""], ""amenity_Outdoor"": [""Patio or balcony""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Washer"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Private entrance"", ""Unavailable: Air conditioning""]}",Uberlandia,Premium
27,5 guests · 2 bedrooms · 4 beds · 1 bath,Kitchen,empty,,Entire home**__**Enhanced Clean**__**Cancellation policy**__**House rules,€92/ night,󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤅Pets are allowed**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bathroom"": [""Bathtub""], ""amenity_Bedroom and laundry"": [""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Microwave"", ""Refrigerator"", ""Oven"", ""Coffee maker""], ""amenity_Location features"": [""Private entrance""], ""amenity_Not included"": [""Unavailable: Washer"", ""Unavailable: Essentials"", ""Unavailable: Smoke alarm"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Shampoo"", ""Unavailable: Air conditioning"", ""Unavailable: Hair dryer""]}",Uberlandia,Premium
28,6 guests · 4 bedrooms · 6 beds · 2 baths,Kitchen,empty,Entire home**__**Enhanced Clean**__**Cancellation policy**__**House rules,,€136/ night,󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤅Pets are allowed**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bedroom and laundry"": [""Washer"", ""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Dedicated workspace"", ""Wifi""], ""amenity_Kitchen and dining"": [""Microwave"", ""Oven"", ""Coffee maker"", ""Kitchen"", ""Refrigerator"", ""Dishwasher""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free street parking""], ""amenity_Not included"": [""Unavailable: Hair dryer"", ""Unavailable: Shampoo"", ""Unavailable: Air conditioning"", ""Unavailable: Smoke alarm"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Essentials""]}",Uberlandia,Premium
29,6 guests · 3 bedrooms · 3 beds · 1 bath,Kitchen,empty,Entire home**__**Enhanced Clean**__**Cancellation policy**__**House rules,,€126/ night,󰀥Check-in:  After 3:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bathroom"": [""Bathtub""], ""amenity_Bedroom and laundry"": [""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Refrigerator"", ""Oven"", ""Coffee maker""], ""amenity_Location features"": [""Private entrance""], ""amenity_Not included"": [""Unavailable: Essentials"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Hair dryer"", ""Unavailable: Smoke alarm"", ""Unavailable: Air conditioning"", ""Unavailable: Washer"", ""Unavailable: Shampoo""]}",Uberlandia,Premium
30,5 guests · 1 bedroom · 6 beds · 1 bath,Kitchen,empty,,Entire home**__**Enhanced Clean**__**Pool**__**Free cancellation until 3:00 PM on Mar 11**__**House rules,€196/ night,󰀥Check-in:  Flexible**__**󱤄Not suitable for children and infants**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠃No smoke alarm**__**󱠆Carbon monoxide alarm not reported Learn more,{},Uberlandia,Premium
31,6 guests · 2 bedrooms · 6 beds · 1 bath,Kitchen,5.0 (4 reviews),Entire home**__**Enhanced Clean**__**Self check-in**__**Cancellation policy**__**House rules,,€116/ night,"󰀥Check-in:  After 5:00 PM**__**󰀥Checkout: 9:00 AM**__**󰄄Self check-in with lockbox**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠃No carbon monoxide alarm**__**󱠃No smoke alarm**__**󰐂Security Deposit - if you damage the home, you may be charged up to €100","{""amenity_Bathroom"": [""Hot water"", ""Bathtub"", ""Hair dryer""], ""amenity_Bedroom and laundry"": [""Essentials"", ""Iron"", ""Extra pillows and blankets"", ""Washer"", ""Hangers"", ""Dryer""], ""amenity_Entertainment"": [""TV"", ""Cable TV""], ""amenity_Family"": [""Crib"", ""High chair"", ""Pack \u2019n Play/travel crib""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Dedicated workspace"", ""Wifi""], ""amenity_Kitchen and dining"": [""Refrigerator"", ""Cooking basics"", ""Stove"", ""Coffee maker"", ""Kitchen"", ""Dishes and silverware"", ""Oven"", ""Dishwasher""], ""amenity_Location features"": [""Private entrance""], ""amenity_Outdoor"": [""Patio or balcony"", ""Garden or backyard""], ""amenity_Parking and facilities"": [""Free parking on premises"", ""Single level home""], ""amenity_Services"": [""Lockbox"", ""Luggage dropoff allowed""], ""amenity_Not included"": [""Unavailable: Smoke alarm"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Shampoo"", ""Unavailable: Air conditioning""]}",Uberlandia,Premium
32,6 guests · 2 bedrooms · 4 beds · 2 baths,Kitchen,empty,,Entire home**__**Enhanced Clean**__**Experienced host**__**Cancellation policy**__**House rules,€132/ night,󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤅Pets are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bedroom and laundry"": [""Essentials"", ""Hangers""], ""amenity_Entertainment"": [""TV"", ""Cable TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Oven"", ""Kitchen""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free street parking""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Shampoo"", ""Unavailable: Hair dryer"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Washer"", ""Unavailable: Smoke alarm"", ""Unavailable: Air conditioning""]}",Uberlandia,Premium
33,5 guests · 2 bedrooms · 3 beds · 1 bath,Kitchen,empty,Entire home**__**Enhanced Clean**__**Cancellation policy**__**House rules,,€67/ night,󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤅Pets are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,{},Uberlandia,Premium
34,5 guests · 2 bedrooms · 3 beds · 2 baths,Kitchen,empty,Entire home**__**Enhanced Clean**__**Experienced host**__**Cancellation policy**__**House rules,,€128/ night,󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤅Pets are allowed**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bedroom and laundry"": [""Hangers"", ""Essentials""], ""amenity_Entertainment"": [""TV"", ""Cable TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen"", ""Oven""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free street parking""], ""amenity_Not included"": [""Unavailable: Carbon monoxide alarm"", ""Unavailable: Hair dryer"", ""Unavailable: Smoke alarm"", ""Unavailable: Air conditioning"", ""Unavailable: Washer"", ""Unavailable: Shampoo""]}",Uberlandia,Premium
35,4 guests · 2 bedrooms · 3 beds · 1 bath,Kitchen,4.90 (43 reviews),,Entire home**__**Enhanced Clean**__**Kathrin is a Superhost**__**Free cancellation until 3:00 PM on Mar 11**__**House rules,€130/ night,"󰀥Check-in:  After 3:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠁Carbon monoxide detector not required Learn more**__**󱠁Smoke alarm**__**󰐂Security Deposit - if you damage the home, you may be charged up to €150",{},Uberlandia,Premium
36,4 guests · 2 bedrooms · 4 beds · 1 bath,Kitchen,empty,,Entire home**__**Enhanced Clean**__**Cancellation policy**__**House rules,€108/ night,󰀥Check-in:  After 2:00 PM**__**󰀥Checkout: 7:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱠁Long term stays (28 days or more) are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,{},Uberlandia,Premium
37,8 guests · 3 bedrooms · 6 beds · 1 bath,Kitchen,empty,Entire home**__**Enhanced Clean**__**Free cancellation until 1:00 PM on Mar 11**__**House rules,,€225/ night,󰀥Check-in:  1:00 PM - 6:00 PM**__**󰀥Checkout: 9:00 AM**__**󱤈No smoking**__**󱤆No pets**__**󱤂No parties or events**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠁Smoke alarm,"{""amenity_Bathroom"": [""Shampoo"", ""Body soap""], ""amenity_Bedroom and laundry"": [""Essentials""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Home safety"": [""Unavailable: Security cameras on property"", ""Smoke alarm"", ""Fire extinguisher""], ""amenity_Internet and office"": [""Wifi""], ""amenity_Kitchen and dining"": [""Nespresso machine"", ""Microwave"", ""Kitchen"", ""Stove"", ""Refrigerator"", ""Dishes and silverware"", ""Dishwasher""], ""amenity_Outdoor"": [""Patio or balcony""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Air conditioning"", ""Unavailable: Hair dryer"", ""Unavailable: Washer"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Private entrance""]}",Uberlandia,Premium
38,8 guests · 4 bedrooms · 4 beds · 3 baths,Kitchen,empty,Entire home**__**Enhanced Clean**__**Cancellation policy**__**House rules,,€160/ night,󰀥Check-in:  After 4:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤅Pets are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bathroom"": [""Bathtub""], ""amenity_Bedroom and laundry"": [""Hangers""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Oven"", ""Kitchen"", ""Dishwasher"", ""Coffee maker""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free street parking""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Hair dryer"", ""Unavailable: Shampoo"", ""Unavailable: Smoke alarm"", ""Unavailable: Essentials"", ""Unavailable: Washer"", ""Unavailable: Air conditioning"", ""Unavailable: Carbon monoxide alarm""]}",Uberlandia,Premium
39,4 guests · 2 bedrooms · 2 beds · 1 bath,Kitchen,empty,Entire home**__**Enhanced Clean**__**Pets allowed**__**Free cancellation until 3:00 PM on Mar 11**__**House rules,,€89 €82/ night,󰀥Check-in:  3:00 PM - 9:00 PM**__**󰀥Checkout: 10:00 AM**__**󱤈No smoking**__**󱤂No parties or events**__**󱤅Pets are allowed**__**󹀁Committed to Airbnb's enhanced cleaning process. Learn more**__**Airbnb's social-distancing and other COVID-19-related guidelines apply**__**󱠆Carbon monoxide alarm not reported Learn more**__**󱠆Smoke alarm not reported Learn more,"{""amenity_Bathroom"": [""Hot water"", ""Hair dryer""], ""amenity_Bedroom and laundry"": [""Washer"", ""Essentials"", ""Hangers"", ""Dryer""], ""amenity_Entertainment"": [""TV""], ""amenity_Heating and cooling"": [""Heating""], ""amenity_Internet and office"": [""Wifi"", ""Dedicated workspace""], ""amenity_Kitchen and dining"": [""Kitchen""], ""amenity_Location features"": [""Private entrance""], ""amenity_Parking and facilities"": [""Free parking on premises""], ""amenity_Services"": [""Long term stays allowed""], ""amenity_Not included"": [""Unavailable: Smoke alarm"", ""Unavailable: Carbon monoxide alarm"", ""Unavailable: Shampoo"", ""Unavailable: Air conditioning""]}",Uberlandia,Premium
